,competênciamov,município,seção,saldomovimentação,sexo,graudeinstrução
57,2023-01-01,Pb-Alhandra,Indústrias de Transformação,-1,Homem,14
58,2023-01-01,Pb-Alhandra,Indústrias de Transformação,-1,Mulher,6
59,2023-01-01,Pb-Alhandra,Indústrias de Transformação,1,Homem,14
60,2023-01-01,Pb-Alhandra,Indústrias de Transformação,1,Mulher,4
61,2023-01-01,Pb-Alhandra,Informação e Comunicação,-1,Homem,37
62,2023-01-01,Pb-Alhandra,Informação e Comunicação,-1,Mulher,7
63,2023-01-01,Pb-Alhandra,Informação e Comunicação,1,Homem,1
64,2023-01-01,Pb-Alhandra,"Transporte, Armazenagem e Correio",-1,Homem,4
65,2023-01-01,Pb-Alhandra,"Transporte, Armazenagem e Correio",1,Homem,3
66,2023-01-01,Pb-Alhandra,"Transporte, Armazenagem e Correio",1,Mulher,1
67,2023-01-01,Pb-Amparo,Construção,-1,Homem,1
68,2023-01-01,Pb-Amparo,Educação,1,Homem,1
69,2023-01-01,Pb-Aparecida,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Homem,1
70,2023-01-01,Pb-Aparecida,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",1,Mulher,1
71,2023-01-01,Pb-Aparecida,Alojamento e Alimentação,1,Mulher,1
72,2023-01-01,Pb-Aparecida,"Atividades Profissionais, Científicas e Técnicas",1,Homem,2
73,2023-01-01,Pb-Aparecida,"Atividades Profissionais, Científicas e Técnicas",1,Mulher,1
74,2023-01-01,Pb-Aparecida,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,1
75,2023-01-01,Pb-Aparecida,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,2
76,2023-01-01,Pb-Aparecida,"Transporte, Armazenagem e Correio",-1,Homem,1
77,2023-01-01,Pb-Aracagi,"Atividades Profissionais, Científicas e Técnicas",-1,Homem,1
78,2023-01-01,Pb-Aracagi,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,4
79,2023-01-01,Pb-Aracagi,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Mulher,1
80,2023-01-01,Pb-Aracagi,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,5
81,2023-01-01,Pb-Aracagi,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,1
82,2023-01-01,Pb-Aracagi,Construção,1,Homem,5
83,2023-01-01,Pb-Aracagi,Saúde Humana e Serviços Sociais,1,Mulher,1
84,2023-01-01,Pb-Arara,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,3
85,2023-01-01,Pb-Arara,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,1
86,2023-01-01,Pb-Arara,Construção,1,Homem,5
87,2023-01-01,Pb-Araruna,Alojamento e Alimentação,1,Mulher,2
88,2023-01-01,Pb-Araruna,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,5
89,2023-01-01,Pb-Araruna,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Homem,9
90,2023-01-01,Pb-Araruna,"Comércio, Reparação de Veículos Automotores e Motocicletas",1,Mulher,2
91,2023-01-01,Pb-Araruna,Construção,-1,Homem,7
92,2023-01-01,Pb-Araruna,Construção,1,Homem,5
93,2023-01-01,Pb-Araruna,Educação,-1,Homem,1
94,2023-01-01,Pb-Araruna,Educação,-1,Mulher,1
95,2023-01-01,Pb-Araruna,Indústrias de Transformação,-1,Homem,1
96,2023-01-01,Pb-Areia,"Agricultura, Pecuária, Produção Florestal, Pesca e AqÜIcultura",-1,Homem,2
97,2023-01-01,Pb-Areia,Alojamento e Alimentação,-1,Homem,1
98,2023-01-01,Pb-Areia,Alojamento e Alimentação,-1,Mulher,1
99,2023-01-01,Pb-Areia,Alojamento e Alimentação,1,Homem,2
100,2023-01-01,Pb-Areia,Atividades Administrativas e Serviços Complementares,-1,Homem,1
101,2023-01-01,Pb-Areia,"Comércio, Reparação de Veículos Automotores e Motocicletas",-1,Homem,3
